Linux 3.11.0-17-generic (axle) 	05/11/14 	_x86_64_	(64 CPU)

19:05:09        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:06:09        all      8.98      0.00      1.17      0.76      0.00     89.09
19:07:09        all      7.99      0.00      0.74      0.16      0.00     91.11
19:08:09        all      3.87      0.00      0.42      0.16      0.00     95.56
19:09:09        all      3.07      0.00      0.33      0.10      0.00     96.49
19:10:09        all      3.10      0.00      0.34      0.03      0.00     96.53
19:11:09        all      2.88      0.00      0.46      0.16      0.00     96.50
19:12:09        all      2.89      0.00      0.40      0.23      0.00     96.47
19:13:09        all      3.18      0.00      0.20      0.00      0.00     96.61
19:14:09        all      6.04      0.00      2.45      0.05      0.00     91.45
19:15:09        all      7.48      0.00      0.52      0.09      0.00     91.91
19:16:09        all      4.85      0.00      0.36      0.11      0.00     94.69
19:17:09        all      4.75      0.00      0.18      0.03      0.00     95.05
19:18:09        all      4.66      0.00      0.28      0.04      0.00     95.02
19:19:09        all      3.24      0.00      0.27      0.09      0.00     96.40
