# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415214369;16643772;247475784;93.70;178324;225670416;90717976;33.15;150212684;87780888
axle;60;1415214429;11011704;253107852;95.83;178604;231617416;90368536;33.02;157093468;86513688
axle;60;1415214489;9184056;254935500;96.52;178764;233627356;90184308;32.95;161008388;84431408
axle;60;1415214549;7193104;256926452;97.28;178952;235616656;90200672;32.96;164488520;82948996
axle;60;1415214609;5183552;258936004;98.04;179264;237623636;90218144;32.96;167972968;81471544
axle;60;1415214669;2564892;261554664;99.03;179492;238404252;92044480;33.63;170738040;81332916
axle;60;1415214729;1757324;262362232;99.33;179632;239218468;92054008;33.63;170838696;82043532
axle;60;1415214789;746496;263373060;99.72;179748;240212032;92106348;33.65;170708728;83167284
axle;60;1415214849;1065444;263054112;99.60;148736;233402376;98496944;35.99;168427804;85154852
axle;60;1415214909;3516292;260603264;98.67;147976;232814696;96711352;35.34;164026008;87133548
axle;60;1415214969;4672232;259447324;98.23;148148;234039696;94404900;34.49;161859392;88157460
axle;60;1415215029;3466928;260652628;98.69;148300;235247548;94421148;34.50;162043644;89183344
axle;60;1415215089;634128;263485428;99.76;148448;238070844;94421148;34.50;164323888;89726576
axle;60;1415215149;6416060;257703496;97.57;147548;236427852;90321580;33.00;158112980;90172848
