# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1415216045;-40223.57;-29.57;10233.50
axle;60;1415216105;6695.47;-9.77;-18590.77
axle;60;1415216165;26428.47;-2.50;-16442.85
axle;60;1415216225;-10049.30;0.85;3425.28
axle;60;1415216285;498.10;0.82;2791.17
axle;60;1415216345;-14347.95;-1.60;7678.43
axle;60;1415216405;8241.42;-0.10;-5291.00
axle;60;1415216465;16460.18;1.20;-9366.00
axle;60;1415216525;-14044.60;0.88;-1048.18
axle;60;1415216585;-5562.87;0.83;1927.52
axle;60;1415216645;-602.40;0.35;6998.18
axle;60;1415216705;5173.95;0.90;4079.67
axle;60;1415216765;8637.88;0.93;-5918.40
axle;60;1415216825;3819.93;0.82;-2656.27
axle;60;1415216885;2418.95;1.12;939.03
axle;60;1415216945;-6365.58;0.83;986.40
axle;60;1415217005;1637.33;0.83;958.80
axle;60;1415217065;-2888.32;0.88;4161.62
axle;60;1415217125;-12089.17;0.82;4342.92
axle;60;1415217185;-10154.80;-33.15;8645.33
axle;60;1415217245;5608.18;-0.65;142.57
axle;60;1415217305;11591.80;-0.02;-6319.05
axle;60;1415217365;-3658.40;0.58;-4383.12
axle;60;1415217425;-16475.67;-3.97;8215.02
axle;60;1415217485;13661.83;-23.60;-11089.10
axle;60;1415217545;3119.45;-1.45;-10415.30
axle;60;1415217605;53552.07;0.92;-4404.42
axle;60;1415217665;-1073.85;1.50;1285.88
axle;60;1415217725;-1292.57;0.70;1321.93
