# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415216045;sdb;1649.67;7114.67;145565.07;92.55;8.43;5.11;0.05;8.09
axle;60;1415216045;sda;147.82;8.00;8738.93;59.17;7.11;48.13;0.79;11.64
axle;60;1415216105;sdb;296.92;7714.13;73736.00;274.32;2.01;6.79;0.11;3.21
axle;60;1415216105;sda;40.88;9.20;1408.80;34.68;0.03;0.75;0.47;1.92
axle;60;1415216165;sdb;1563.25;7283.20;73220.27;51.50;8.10;5.18;0.05;7.88
axle;60;1415216165;sda;54.43;0.13;1660.80;30.51;0.01;0.26;0.18;0.97
axle;60;1415216225;sdb;211.63;7223.60;47028.40;256.35;0.37;1.74;0.08;1.60
axle;60;1415216225;sda;3.03;0.00;355.33;117.14;0.00;0.24;0.02;0.01
axle;60;1415216285;sdb;1561.80;7129.60;80827.60;56.32;3.70;2.37;0.04;5.67
axle;60;1415216285;sda;6.42;0.00;203.07;31.65;0.00;0.24;0.21;0.13
axle;60;1415216345;sdb;352.17;7253.87;102955.20;312.95;2.96;8.40;0.18;6.37
axle;60;1415216345;sda;28.47;31.87;1292.27;46.52;0.02;0.57;0.30;0.87
axle;60;1415216405;sdb;1549.45;7330.13;62037.20;44.77;4.81;3.11;0.03;4.80
axle;60;1415216405;sda;22.22;0.13;759.87;34.21;0.02;0.88;0.18;0.39
axle;60;1415216465;sdb;210.92;7567.07;20301.47;132.13;0.37;1.76;0.07;1.45
axle;60;1415216465;sda;3.73;0.13;367.87;98.57;0.00;0.18;0.18;0.07
axle;60;1415216525;sdb;1454.78;7513.73;36052.00;29.95;3.33;2.29;0.02;3.35
axle;60;1415216525;sda;2.57;0.13;54.13;21.14;0.00;0.00;0.00;0.00
axle;60;1415216585;sdb;304.20;7052.80;18087.07;82.64;0.46;1.51;0.04;1.37
axle;60;1415216585;sda;3.55;0.00;365.87;103.06;0.00;0.00;0.00;0.00
axle;60;1415216645;sdb;1495.48;7552.00;76229.20;56.02;3.41;2.28;0.04;5.24
axle;60;1415216645;sda;26.90;0.00;690.67;25.68;0.01;0.37;0.14;0.38
axle;60;1415216705;sdb;862.28;7121.07;68938.27;88.21;2.56;2.97;0.05;4.21
axle;60;1415216705;sda;3.07;0.00;362.40;118.17;0.00;0.15;0.02;0.01
axle;60;1415216765;sdb;949.27;7364.93;28337.60;37.61;2.21;2.33;0.03;2.79
axle;60;1415216765;sda;3.20;0.00;56.93;17.79;0.00;0.00;0.00;0.00
axle;60;1415216825;sdb;1444.20;7466.67;40113.33;32.95;2.51;1.74;0.02;2.67
axle;60;1415216825;sda;3.02;0.00;351.07;116.38;0.00;0.04;0.02;0.01
axle;60;1415216885;sdb;243.23;7547.73;10829.73;75.55;0.48;1.98;0.07;1.59
axle;60;1415216885;sda;2.42;2.13;48.00;20.74;0.01;2.79;0.25;0.06
axle;60;1415216945;sdb;1512.62;7219.20;41977.20;32.52;2.35;1.55;0.02;3.31
axle;60;1415216945;sda;3.83;0.00;366.93;95.72;0.00;0.28;0.02;0.01
axle;60;1415217005;sdb;229.28;7287.47;8724.67;69.84;0.41;1.81;0.04;0.97
axle;60;1415217005;sda;3.33;0.40;367.07;110.24;0.00;0.36;0.12;0.04
axle;60;1415217065;sdb;1551.12;6929.47;61860.13;44.35;2.33;1.51;0.03;4.30
axle;60;1415217065;sda;2.63;0.00;54.67;20.76;0.00;0.00;0.00;0.00
axle;60;1415217125;sdb;309.27;6818.13;29256.80;116.65;1.85;5.98;0.09;2.92
axle;60;1415217125;sda;10.03;0.00;596.53;59.46;0.01;0.58;0.15;0.15
axle;60;1415217185;sdb;1711.25;7228.27;107014.27;66.76;5.07;2.97;0.04;7.29
axle;60;1415217185;sda;26.83;0.00;854.13;31.83;0.01;0.31;0.17;0.47
axle;60;1415217245;sdb;421.03;7138.13;75554.67;196.40;4.09;9.61;0.12;5.12
axle;60;1415217245;sda;23.85;2.80;938.13;39.45;0.01;0.45;0.14;0.33
axle;60;1415217305;sdb;1667.78;7291.73;81555.87;53.27;8.25;4.97;0.05;8.51
axle;60;1415217305;sda;28.93;1.07;1027.07;35.53;0.01;0.48;0.22;0.63
axle;60;1415217365;sdb;590.48;7274.80;19697.20;45.68;1.91;3.24;0.04;2.35
axle;60;1415217365;sda;10.73;0.00;678.00;63.17;0.00;0.35;0.19;0.21
axle;60;1415217425;sdb;1417.45;7366.27;104433.73;78.87;3.10;2.19;0.05;7.00
axle;60;1415217425;sda;39.95;4.93;1388.00;34.87;0.01;0.36;0.17;0.69
axle;60;1415217485;sdb;1284.05;7092.93;85871.87;72.40;2.45;1.91;0.05;6.01
axle;60;1415217485;sda;89.42;3.47;3522.00;39.43;0.73;8.11;0.29;2.57
axle;60;1415217545;sdb;570.27;7155.47;20236.67;48.03;1.22;2.14;0.03;1.97
axle;60;1415217545;sda;18.35;0.00;616.40;33.59;0.01;0.32;0.17;0.31
axle;60;1415217605;sdb;1061.60;8187.73;28000.00;34.09;2.70;2.54;0.03;3.07
axle;60;1415217605;sda;4.22;7.73;359.87;87.18;0.01;3.21;0.52;0.22
axle;60;1415217665;sdb;750.42;8785.33;23459.07;42.97;1.41;1.89;0.03;2.13
axle;60;1415217665;sda;3.40;1.47;661.20;194.90;0.00;1.08;0.22;0.07
axle;60;1415217725;sdb;359.22;9587.20;15003.47;68.46;0.93;2.58;0.05;1.82
axle;60;1415217725;sda;2.18;0.00;336.00;153.89;0.00;0.37;0.03;0.01
