# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415216045;489568;263629988;99.81;120220;235302032;97220928;35.52;166180732;87824188
axle;60;1415216105;2096480;262023076;99.21;117876;230840248;100224692;36.62;166066316;86393652
axle;60;1415216165;8439312;255680244;96.80;117276;226893964;97801376;35.73;162515088;83518060
axle;60;1415216225;6027480;258092076;97.72;117480;227716032;99429216;36.33;164612040;83891840
axle;60;1415216285;6147024;257972532;97.67;117676;228385912;98665188;36.05;164027368;84340548
axle;60;1415216345;2703516;261416040;98.98;117292;230228736;100305556;36.65;165668916;86138880
axle;60;1415216405;4681456;259438100;98.23;117268;228958896;99594864;36.39;165020140;84804268
axle;60;1415216465;8631900;255487656;96.73;117556;226711056;97790528;35.73;163514320;82346612
axle;60;1415216525;5261196;258858360;98.01;117768;226459492;101497284;37.09;167405728;81863580
axle;60;1415216585;3926108;260193448;98.51;117968;226922096;102356512;37.40;168535016;82051316
axle;60;1415216645;3781532;260338024;98.57;118052;228601660;100936624;36.88;167078136;83673664
axle;60;1415216705;5023280;259096276;98.10;118268;229580780;98572960;36.02;165099584;84411316
axle;60;1415216765;7096372;257023184;97.31;118492;228160364;98036904;35.82;164590864;82802524
axle;60;1415216825;8013156;256106400;96.97;118688;227522860;97736528;35.71;164552640;81956748
axle;60;1415216885;8593704;255525852;96.75;118956;227748228;97249688;35.53;163946592;81995228
axle;60;1415216945;7065964;257053592;97.32;119156;227984964;98086016;35.84;165424112;82025148
axle;60;1415217005;7458924;256660632;97.18;119356;228215076;97546228;35.64;165001052;82068208
axle;60;1415217065;6765728;257353828;97.44;119568;229213864;97215072;35.52;164894272;82871424
axle;60;1415217125;3864328;260255228;98.54;119764;230256164;99109416;36.21;166844388;83834256
axle;60;1415217185;1427176;262692380;99.46;111808;232331044;99340020;36.30;167580828;85517900
axle;60;1415217245;2773140;261346416;98.95;111652;232365260;98072680;35.83;165924964;85823240
axle;60;1415217305;5555172;258564384;97.90;111648;230848688;96797028;35.37;164803672;84150960
axle;60;1415217365;4677156;259442400;98.23;111788;229796740;98730936;36.07;166745412;83117584
axle;60;1415217425;722996;263396560;99.73;110836;231768344;100622616;36.77;168628688;85174740
axle;60;1415217485;4001836;260117720;98.48;105172;229106960;100184648;36.61;164349500;86186500
axle;60;1415217545;4750504;259369052;98.20;104824;226607288;101950316;37.25;166400948;83455304
axle;60;1415217605;17603000;246516556;93.34;105044;225550228;90556436;33.09;154784156;82430264
axle;60;1415217665;17345276;246774280;93.43;105404;225858840;90263564;32.98;154995908;82514540
axle;60;1415217725;17035060;247084496;93.55;105572;226176104;90216016;32.96;155237220;82590048
