# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1415216045;3563.40;77152.00;664090.17;0.08;92708.83;36566.05;6137.03;41289.80;96.69
axle;60;1415216105;3861.67;37572.40;276518.80;0.37;66975.02;19730.07;3146.55;22736.08;99.39
axle;60;1415216165;3641.67;37440.53;416923.27;0.00;124240.08;1482.88;2864.73;4053.78;93.24
axle;60;1415216225;3611.80;23691.87;349738.53;0.00;44439.92;0.00;0.00;0.00;0.00
axle;60;1415216285;3564.80;40515.33;349705.18;0.00;53985.40;0.00;182.95;163.37;89.30
axle;60;1415216345;3642.87;52123.73;334920.43;0.28;47785.05;0.00;1534.07;1326.38;86.46
axle;60;1415216405;3665.13;31398.53;274436.15;0.02;65767.10;0.00;1143.00;971.27;84.98
axle;60;1415216465;3783.60;10334.67;418604.78;0.00;125552.22;0.00;0.00;0.00;0.00
axle;60;1415216525;3756.93;18053.07;451013.93;0.00;53266.17;0.00;0.00;0.00;0.00
axle;60;1415216585;3526.40;9226.47;447058.20;0.00;74889.00;0.00;0.00;0.00;0.00
axle;60;1415216645;3776.00;38459.93;332677.82;0.00;72028.65;0.00;606.53;521.53;85.99
axle;60;1415216705;3560.53;34650.33;409774.30;0.00;70441.85;0.00;0.00;0.00;0.00
axle;60;1415216765;3682.47;14197.27;337926.02;0.00;67751.50;0.00;0.00;0.00;0.00
axle;60;1415216825;3733.33;20232.20;323072.18;0.00;62782.88;0.00;0.00;0.00;0.00
axle;60;1415216885;3774.93;5438.87;389792.87;0.00;51413.60;0.00;0.00;0.00;0.00
axle;60;1415216945;3609.60;21172.07;347798.75;0.00;41915.10;0.00;0.00;0.00;0.00
axle;60;1415217005;3641.80;4545.87;474003.07;0.00;50789.05;0.00;0.00;0.00;0.00
axle;60;1415217065;3466.87;30957.40;358992.40;0.00;36267.58;0.00;0.00;0.00;0.00
axle;60;1415217125;3409.07;14926.67;386894.38;0.00;53511.28;0.00;433.33;356.05;82.17
axle;60;1415217185;3614.13;53934.20;300696.57;0.00;44183.23;0.00;782.25;678.23;86.70
axle;60;1415217245;3574.73;38269.73;353043.15;0.03;63758.48;0.00;788.77;692.20;87.76
axle;60;1415217305;3642.13;41268.13;361157.42;0.02;100021.03;0.00;1054.65;928.15;88.01
axle;60;1415217365;3637.40;10187.60;422986.90;0.00;59346.62;0.00;286.00;245.65;85.89
axle;60;1415217425;3685.60;52910.87;467638.93;0.03;79626.45;0.00;1242.15;1066.45;85.86
axle;60;1415217485;3548.20;44696.80;420847.53;0.03;68459.38;13829.53;2548.18;15964.30;97.48
axle;60;1415217545;3577.73;10426.67;389266.37;0.00;100220.68;0.00;1127.62;1050.95;93.20
axle;60;1415217605;4097.73;14179.93;146273.63;0.12;81469.05;0.00;0.00;0.00;0.00
axle;60;1415217665;4393.40;12060.13;50644.92;0.00;8428.33;0.00;0.00;0.00;0.00
axle;60;1415217725;4793.60;7669.73;49379.83;0.00;6903.18;0.00;0.00;0.00;0.00
