# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415215234;3833652;260285904;98.55;148140;238841384;90614792;33.11;155783144;95087952
axle;60;1415215294;734248;263385308;99.72;139888;241333252;91186948;33.32;157029996;96926336
axle;60;1415215354;743988;263375568;99.72;140048;241547104;90906408;33.22;165178900;88766804
axle;60;1415215414;607332;263512224;99.77;140020;240777304;91782448;33.54;165249260;88839452
axle;60;1415215474;540176;263579380;99.80;139956;241203024;91360568;33.38;164785840;89385492
axle;60;1415215534;2793172;261326384;98.94;140120;239970112;90384960;33.03;164866400;87084300
axle;60;1415215594;2551080;261568476;99.03;140304;240233392;90358408;33.02;165031760;87144084
axle;60;1415215654;2338264;261781292;99.11;139408;240474472;90377804;33.02;165207216;87189288
axle;60;1415215714;598728;263520828;99.77;126732;240199728;92339948;33.74;167675808;86452404
axle;60;1415215774;2511648;261607908;99.05;126912;240465712;90210260;32.96;165698988;86508804
axle;60;1415215834;2276044;261843512;99.14;127040;240713864;90225968;32.97;166294908;86164880
axle;60;1415215894;1727796;262391760;99.35;127208;240981304;90474320;33.06;167087604;85921628
axle;60;1415215954;1885756;262233800;99.29;127108;241100568;90201596;32.96;167024072;85822844
