Linux 3.11.0-17-generic (axle) 	05/11/14 	_x86_64_	(64 CPU)

19:19:34        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:20:34        all      2.92      0.00      0.47      0.00      0.00     96.61
19:21:34        all      3.12      0.00      0.27      0.01      0.00     96.60
19:22:34        all      2.89      0.00      0.57      0.02      0.00     96.53
19:23:34        all      3.06      0.00      0.33      0.00      0.00     96.61
19:24:34        all      2.95      0.00      0.46      0.01      0.00     96.58
19:25:34        all      2.92      0.00      0.48      0.00      0.00     96.59
19:26:34        all      3.17      0.00      0.20      0.00      0.00     96.63
19:27:34        all      3.12      0.00      0.27      0.00      0.00     96.61
19:28:34        all      2.99      0.00      0.39      0.00      0.00     96.61
19:29:34        all      3.06      0.00      0.35      0.00      0.00     96.59
19:30:34        all      3.00      0.00      0.40      0.00      0.00     96.60
19:31:34        all      3.10      0.00      0.30      0.00      0.00     96.60
19:32:34        all      2.76      0.00      0.65      0.00      0.00     96.58
