# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1415215234;-27715.42;0.78;26650.10
axle;60;1415215294;-12914.18;-34.38;10382.78
axle;60;1415215354;40.58;0.67;891.05
axle;60;1415215414;-569.40;-0.12;-3207.50
axle;60;1415215474;-279.82;-0.27;1773.83
axle;60;1415215534;9387.48;0.68;-5137.13
axle;60;1415215594;-1008.72;0.77;1097.00
axle;60;1415215654;-886.73;-3.73;1004.50
axle;60;1415215714;-7248.07;-52.82;-1144.77
axle;60;1415215774;7970.50;0.75;1108.27
axle;60;1415215834;-981.68;0.53;1033.97
axle;60;1415215894;-2284.37;0.70;1114.33
axle;60;1415215954;658.17;-0.42;496.93
